"","CitingID","CitedID"
"1156",5366,4752
"1157",6254,4752
"1158",2537,4752
"1159",4453,4752
"1160",5944,4752
"1161",4986,4752
"1162",980,1883
"1163",5006,1883
"1164",5089,1883
"1165",1287,1883
"1166",1881,1883
"1167",1885,1883
"1168",3271,1883
"1169",3279,1883
"1170",5267,1883
"1171",5683,1883
"1172",3304,4198
"1173",6237,4198
"1174",1090,3201
"1175",1420,3201
"1176",1659,3201
"1177",3199,3201
"1178",3761,3201
"1179",1581,3201
"1180",1693,3201
"1181",3245,3201
"1182",3652,3201
"1183",4402,3201
"1184",4964,3201
"1185",2140,3201
"1186",2652,3201
"1187",4666,3201
"1188",5387,3201
"1189",5877,3201
"1190",2549,3201
"1191",765,779
"1192",767,779
"1193",769,779
"1194",771,779
"1195",1923,779
"1196",5995,779
"1197",773,779
"1198",775,779
"1199",1106,779
"1200",3257,779
"1201",3259,779
"1202",3679,779
"1203",4209,779
"1204",5078,779
"1205",5314,779
"1206",3440,2161
"1207",6345,2161
"1208",1004,6006
"1209",3005,6006
"1210",4035,6006
"1211",5304,6006
"1212",6196,6006
"1213",328,5418
"1214",973,5418
"1215",2594,5418
"1216",5324,5418
"1217",4535,5418
"1218",3908,3908
"1219",1529,3664
"1220",1829,3664
"1221",3663,3664
"1222",3665,3664
"1223",2911,2938
"1224",2911,5768
"1225",610,1139
"1226",1837,1139
"1227",803,1139
"1228",1647,1139
"1229",3927,1139
"1230",4846,1139
"1231",4956,1139
"1232",5209,1139
"1233",854,1139
"1234",2545,1139
"1235",895,1139
"1236",1139,1139
"1237",1647,1139
"1238",2123,1139
"1239",5208,1139
"1240",5285,1139
"1241",392,5673
"1242",1163,5673
"1243",4841,5673
"1244",5126,5673
"1245",5050,659
"1246",6347,659
"1247",1677,789
"1248",7,4131
"1249",1050,4131
"1250",1375,4131
"1251",3111,4131
"1252",1740,4131
"1253",4134,4131
"1254",1744,4131
"1255",4132,4131
"1256",3366,4131
"1257",6282,4131
"1258",3396,4131
"1259",6322,4131
"1260",4084,4131
"1261",6320,4131
"1262",51,701
"1263",98,701
"1264",305,701
"1265",701,701
"1266",98,701
"1267",305,701
"1268",701,701
"1269",106,701
"1270",317,701
"1271",315,701
"1272",315,701
"1273",315,701
"1274",315,701
"1275",315,701
"1276",629,701
"1277",629,701
"1278",860,701
"1279",2563,701
"1280",862,701
"1281",2565,701
"1282",862,701
"1283",2541,701
"1284",2565,701
"1285",4172,701
"1286",1506,701
"1287",3846,701
"1288",1506,701
"1289",3846,701
"1290",1697,701
"1291",1858,701
"1292",4268,701
"1293",1864,701
"1294",4274,701
"1295",1864,701
"1296",4274,701
"1297",1864,701
"1298",4274,701
"1299",1879,701
"1300",2661,701
"1301",2661,701
"1302",2661,701
"1303",2661,701
"1304",2826,701
"1305",5642,701
"1306",2826,701
"1307",5642,701
"1308",3015,701
"1309",3015,701
"1310",3086,701
"1311",5949,701
"1312",3586,701
"1313",4882,701
"1314",3640,701
"1315",3845,701
"1316",4172,701
"1317",4172,701
"1318",4319,701
"1319",4989,701
"1320",5573,701
"1321",5581,701
"1322",5643,701
"1323",5644,701
"1324",6107,701
"1325",6194,701
"1326",426,5222
"1327",1101,5222
"1328",1249,5222
"1329",1251,5222
"1330",2229,5222
"1331",3387,5222
"1332",4417,5222
"1333",5226,5222
"1334",5614,5222
"1335",5832,5222
"1336",539,5222
"1337",6128,5222
"1338",4084,5222
"1339",5222,5222
"1340",97,4399
"1341",3582,4399
"1342",193,4399
"1343",1034,4399
"1344",2197,4399
"1345",3061,4399
"1346",4389,4399
"1347",4397,4399
"1348",6005,4399
"1349",337,4399
"1350",3526,4399
"1351",5795,4399
"1352",666,4399
"1353",1030,4399
"1354",1551,4399
"1355",1928,4399
"1356",1930,4399
"1357",1932,4399
"1358",2039,4399
"1359",2447,4399
"1360",2504,4399
"1361",2556,4399
"1362",2846,4399
"1363",3054,4399
"1364",3058,4399
